rank,id_boleto,risk_score_heuristico,risk_level,statistical_score,statistical_level,score_consolidado,amount,delay_days,payer_uf,beneficiary_uf,tipo_especie,baixa_missing,z_payer,z_beneficiary,z_combined,motivo_estatistico,motivos_heuristicos
3653,ecedad8f13810f1864ce1b6fd784918fe8c5ead8f0d99db046a666c6b29b95ce,10.33,baixo,33.07,desvio leve,17.15,254.85,1,MT,SC,DMI DUPLICATA MERCANTIL INDICACAO,nao,,-1.3229,1.3229,valor 1.32 desvios abaixo da media do beneficiario,pagamento com atraso de 1 dias; beneficiario com alta concentracao operacional; pagador com liquidez moderada
3654,93818bd42cc8c726349ac530d2da2dcb4e068b574773a5b06c8e67e83e55face,10.0,baixo,33.82,desvio leve,17.15,997.70,0,PA,PR,DM DUPLICATA MERCANTIL,nao,-1.0,-1.3529,1.3529,valor 1.00 desvios abaixo da media do pagador; valor 1.35 desvios abaixo da media do beneficiario,indicador de inadimplencia elevado
3655,2a24dcab3f0bed4790b14f00fe695d9f06a66dc383c740709ab2d72b1a417286,10.0,baixo,33.8,desvio leve,17.14,990.74,0,SP,SP,DM DUPLICATA MERCANTIL,nao,,1.3518,1.3518,valor 1.35 desvios acima da media do beneficiario,historico de atraso elevado
3656,b3afb17d2af71800f89e93260818aac231a6d8bfad1baa037f7d3fff366dfc7e,24.0,baixo,1.11,comportamento normal,17.13,5980.00,0,,,DM DUPLICATA MERCANTIL,nao,-0.0357,0.0446,0.0446,valor 0.04 desvios abaixo da media do pagador; valor 0.04 desvios acima da media do beneficiario,pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com baixa liquidez
3657,a0eaf6ee8e212e79adf550bc17355fc8a8f2e466422ac259cba5b96cfca81e38,22.0,baixo,5.78,comportamento normal,17.13,1201.04,0,PA,PA,DM DUPLICATA MERCANTIL,nao,0.2127,0.2314,0.2314,valor 0.21 desvios acima da media do pagador; valor 0.23 desvios acima da media do beneficiario,pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; pagador com liquidez moderada; score de quantidade intermediario
3658,6cbb133177cd903ab82b2ad1b157d0ad9bdbdafa22a36d493a02e5b87d245bdf,15.0,baixo,22.11,comportamento normal,17.13,240.61,0,RO,RO,DM DUPLICATA MERCANTIL,nao,-0.8845,-0.5697,0.8845,valor 0.88 desvios abaixo da media do pagador; valor 0.57 desvios abaixo da media do beneficiario,pagador com recorrencia relevante; beneficiario com alta concentracao operacional; historico de atraso moderado
3659,06e800d962936d0a91e8eccf862602c0e80b2feb26febf67d490a76bb4365595,16.0,baixo,19.74,comportamento normal,17.12,320.80,0,SC,SC,DM DUPLICATA MERCANTIL,nao,,-0.7897,0.7897,valor 0.79 desvios abaixo da media do beneficiario,beneficiario com alta concentracao operacional; historico de atraso moderado; indicador de inadimplencia moderado
3660,7bb385c35b6a8edb78a525733d5393d447446fc1becb2c93f6de64cf6d1dfcd1,14.67,baixo,22.82,comportamento normal,17.12,432.39,2,SC,RJ,DM DUPLICATA MERCANTIL,nao,-0.9128,-0.8192,0.9128,valor 0.91 desvios abaixo da media do pagador; valor 0.82 desvios abaixo da media do beneficiario,pagamento com atraso de 2 dias; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
3661,4ba19a4eee73417e0ba1d0f28571600b105130ca9db6f099d814f99bb1a68c30,21.33,baixo,7.28,comportamento normal,17.11,562.06,4,MG,,DM DUPLICATA MERCANTIL,nao,0.2293,-0.2912,0.2912,valor 0.23 desvios acima da media do pagador; valor 0.29 desvios abaixo da media do beneficiario,pagamento com atraso de 4 dias; pagador com recorrencia relevante; pagador com baixa liquidez; beneficiario com baixa liquidez
3662,679bf2986f2a2ec913dcd93e0c116ffdcda8711d45fcef1d65e3614bd7d51747,16.0,baixo,19.69,comportamento normal,17.11,459.56,0,GO,SC,DM DUPLICATA MERCANTIL,nao,,-0.7877,0.7877,valor 0.79 desvios abaixo da media do beneficiario,beneficiario com alta concentracao operacional; historico de atraso moderado; indicador de inadimplencia moderado
